35fl_01;;dNCDch_pho50;;240920.002_fluor_02;;240920.002_phos_03;
Time (s);Intensity (a.u.);Time (s);Intensity (a.u.);Wavelength (nm);Intensity (a.u.);Wavelength (nm);Intensity (a.u.)
1.330449939;104.7239609;2.650384903;136.7229156;563.9699707;0.2588300705;;
1.335459948;102.4477539;2.660404921;135.2727509;565;0.4067189991;;
1.340469956;102.8307877;2.670424938;135.4482117;566.0200195;0.2213992476;;
1.345479965;100.6533737;2.680444956;134.3407288;567.0499878;0.2746672332;;
1.350489974;102.0958099;2.690464973;134.3581238;567.9400024;0.3081031144;;
1.355499983;98.20986176;2.700484991;133.6117859;568.9699707;-0.02054231614;;
1.360509992;97.52355194;2.710505009;132.8404236;570;0.3487751782;;
1.36552;98.45774841;2.720525026;131.9197083;571.039978;0.2759440541;;
1.370530009;101.6745911;2.730545044;131.2522278;571.9400024;0.08264804631;;
1.375540018;99.07162476;2.740565062;131.1259766;572.9799805;0.3788516521;;
1.380550027;95.93125916;2.750585079;130.2068481;574.0200195;0.2397663295;;
1.385560036;95.68811035;2.760605097;128.9232788;575.0700073;0.3554477692;;
1.390570045;98.03825378;2.770624876;128.4776459;575.9699707;0.3476673663;;
1.395579934;99.45185852;2.780644894;128.0687408;577.0100098;0.1958054155;;
1.400589943;97.50660706;2.790664911;127.1611176;578.0499878;0.4049220681;;
1.405599952;96.73535156;2.800684929;126.6448593;578.9500122;0.2763512433;;
1.410609961;99.2510376;2.810704947;126.614418;580;0.3051704466;;
1.415619969;92.94913483;2.820724964;125.9053497;581.0200195;0.2930567861;;
1.420629978;95.84916687;2.830744982;125.3421249;582.0499878;0.2887926102;;
1.425639987;91.85377502;2.840764999;124.6099396;582.9400024;0.2368392795;;
1.430649996;96.45150757;2.850785017;123.5367203;583.9699707;0.3817522228;;
1.435660005;88.95796204;2.860805035;122.55513;585;0.3424730897;;
1.440670013;91.56472778;2.870825052;122.1223526;586.0200195;0.4285939932;;
1.445680022;86.40658569;2.88084507;121.7357788;587.0499878;0.4152460992;;
1.450690031;90.50637817;2.890865088;121.0541229;587.9400024;0.4916735888;;
1.45570004;93.712883;2.900884867;120.0358887;588.9699707;0.3896525502;;
1.460710049;89.56518555;2.910904884;119.4883575;590;0.5158685446;;
1.465719938;89.1517868;2.920924902;119.5243683;591.0200195;0.770993948;;
1.470729947;89.55763245;2.93094492;118.7291107;592.0499878;0.6141465306;;
1.475739956;86.46847534;2.940964937;117.9504547;592.9400024;1.15991509;;
1.480749965;85.08822632;2.950984955;117.3651581;593.9699707;1.194042802;;
1.485759974;87.32295227;2.961004972;116.5937271;595;1.530898213;;
1.490769982;86.1737442;2.97102499;116.6914063;596.0200195;1.758278608;;
1.495779991;82.84687805;2.981045008;115.4313812;597.0499878;1.53662622;;
1.50079;86.54092407;2.991065025;114.581192;597.9400024;1.743417144;;
1.505800009;86.36355591;3.001085043;114.4420624;598.9699707;1.77850318;;
1.510810018;86.72059631;3.011105061;113.977562;600;1.323559284;;
1.515820026;85.39900208;3.021125078;113.3923569;601.0100098;1.988717079;;
1.520830035;83.06045532;3.031145096;113.0616455;602.0200195;1.957140684;;
1.525840044;85.00172424;3.041164875;112.5055313;603.039978;2.286768675;;
1.530849934;80.07788086;3.051184893;111.3472519;604.0499878;2.308499575;;
1.535859942;80.6293869;3.06120491;111.0848541;605.0700073;2.584768295;;
1.540869951;82.68341827;3.071224928;110.320816;605.9400024;2.320810795;;
1.54587996;76.00206757;3.081244946;109.7091675;606.9500122;2.263220787;;
